key,keywords,description
0,EOOL,End of Options List
1,NOP,No Operation
130,SEC,Security
131,LSR,Loose Source Route
68,TS,Time Stampe
133,E-SEC,Extended Security
134,CIPSO,Commercial Security
7,RR,Record Route
136,SID,Stream ID
137,SSR,Strict Source Route
10,ZSU,Experimental Measurement
11,MTUP,MTU Probe
12,MTUR,MTU Reply
205,FINN,Experimental Flow Control
142,VISA,Experimental Access Control
15,ENCODE,???
144,IMITD,IMI Traffic Descriptor
145,EIP,Extended Internet Protocol
82,TR,Traceroute
147,ADDEXT,Address Extension
148,RTRALT,Router Alert
149,SDB,Selective Directed Broadcast
151,DPS,Dynamic Packet State
152,UMP,Upstream Multicast Pkt.
25,QS,Quick-Start
30,EXP,RFC3692-style Experiment [2]
94,EXP,RFC3692-style Experiment [2]
158,EXP,RFC3692-style Experiment [2]
222,EXP,RFC3692-style Experiment [2]